,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
0,90,BANKNIFTY,OPTIDX,2021-09-30,36700.0,CE,667.6,1029.0,640.0,726.15,726.15,7472,70125.09,33575,9150,2021-09-01,36699.0,29.0,17.609596252441406,0.5096811155166089,-12.525941186931098,0.00021894043167336889,41.256175236912696,854.0,127.85000000000002
1,204,BANKNIFTY,OPTIDX,2021-09-30,36700.0,PE,791.15,806.0,644.65,727.35,727.35,7470,69855.82,36775,28625,2021-09-01,36699.0,29.0,17.614364624023438,-0.4903161449681669,-12.52933090436984,0.00021888112597768519,41.256168358314554,592.6,-134.75
2,307,BANKNIFTY,OPTIDX,2021-10-28,36800.0,CE,981.2,1396.75,981.2,1057.0,1057.0,29,275.48,300,50,2021-09-01,36827.35,57.0,17.978668212890625,0.5183371227219885,-9.1467140506479,0.00015231125201881822,57.99792228360001,795.25,-261.75
3,406,BANKNIFTY,OPTIDX,2021-10-28,36800.0,PE,953.6,1223.25,953.6,1030.0,1030.0,23,217.47,400,400,2021-09-01,36827.35,57.0,17.986297607421875,-0.4816586373255267,-9.150591056411209,0.0001522465704256958,57.99789390788378,636.1,-393.9
4,497,BANKNIFTY,OPTIDX,2021-11-25,37000.0,CE,1165.0,1504.0,1165.0,1264.05,1264.05,41,393.31,2000,400,2021-09-01,36977.35,85.0,17.91512966156006,0.5144161523905129,-7.497150674566843,0.00012471182074951212,71.14185823678696,693.3,-570.75
5,586,BANKNIFTY,OPTIDX,2021-11-25,37000.0,PE,1349.95,1350.0,1218.6,1283.35,1283.35,42,402.14,650,425,2021-09-01,36977.35,85.0,17.8680419921875,-0.4856365861571553,-7.477481040793273,0.0001250410706862616,71.1421977567914,729.35,-553.9999999999999
11,2695,BANKNIFTY,OPTIDX,2021-11-25,37200.0,PE,0.0,0.0,0.0,3177.1,2456.75,0,0.0,0,0,2021-09-02,37237.6,84.0,44.953346252441406,-0.45520912047068873,-18.949113414666737,4.936559084960758e-05,70.81677603680325,845.5,-2331.6
9,2512,BANKNIFTY,OPTIDX,2021-10-28,37100.0,PE,1162.75,1264.25,1030.0,1074.75,1074.75,26,248.34,325,325,2021-09-02,37081.75,56.0,18.389225006103516,-0.4883590037339908,-9.509952108434597,0.00014929796674848612,57.92058315623174,795.8,-278.95000000000005
10,2604,BANKNIFTY,OPTIDX,2021-11-25,37200.0,CE,0.0,0.0,0.0,1945.4,2412.8,0,0.0,0,0,2021-09-02,37237.6,84.0,27.065277099609375,0.5289776948691788,-11.450922085529589,8.229529361852455e-05,71.07833787508999,535.2,-1410.2
7,2307,BANKNIFTY,OPTIDX,2021-09-30,37000.0,PE,886.3,957.15,702.0,729.35,729.35,14761,139418.75,202775,44700,2021-09-02,36969.25,28.0,17.470121383666992,-0.49720318593349183,-12.743259066748541,0.00022301303456854392,40.84817111832387,742.65,13.299999999999955
6,2192,BANKNIFTY,OPTIDX,2021-09-30,37000.0,CE,600.0,726.4,509.85,693.3,693.3,27278,256612.51,467275,21650,2021-09-02,36969.25,28.0,17.34161376953125,0.5026750218910642,-12.649548033095597,0.00022466611199271663,40.84825664252473,629.55,-63.75
8,2411,BANKNIFTY,OPTIDX,2021-10-28,37100.0,CE,921.55,1086.4,903.3,1070.1,1070.1,35,333.61,425,350,2021-09-02,37081.75,56.0,18.62335205078125,0.5118580897577681,-9.630876013322649,0.00014741867466459114,57.91965434315499,589.5,-480.5999999999999
12,4306,BANKNIFTY,OPTIDX,2021-09-30,36900.0,CE,793.0,900.0,578.0,673.65,673.65,5541,52110.62,35650,2500,2021-09-03,36899.75,27.0,16.829967498779297,0.5090707591995606,-12.475161554551422,0.00023613243004929675,40.02733362346887,601.8,-71.85000000000002
13,4423,BANKNIFTY,OPTIDX,2021-09-30,36900.0,PE,752.85,795.5,552.55,692.95,692.95,4050,38027.0,18500,1450,2021-09-03,36899.75,27.0,17.305850982666016,-0.4906695099991322,-12.827716044911936,0.00022963571314198408,40.02673241085152,746.5,53.549999999999955
14,4529,BANKNIFTY,OPTIDX,2021-10-28,37000.0,CE,1065.5,1259.85,936.4,1006.75,1006.75,2034,19367.03,73850,-1475,2021-09-03,37021.45,55.0,17.380595207214355,0.5168799018400294,-9.050683485693659,0.0001595761924245677,57.280845192980394,554.75,-452.0
15,4632,BANKNIFTY,OPTIDX,2021-10-28,37000.0,PE,733.4,1120.0,733.4,1017.05,1017.05,1702,16162.21,36475,8500,2021-09-03,37021.45,55.0,17.934799194335938,-0.48279716423287566,-9.338953554831178,0.0001546397680484397,57.27886216623272,796.05,-221.0
16,4727,BANKNIFTY,OPTIDX,2021-11-25,37200.0,CE,0.0,0.0,0.0,1945.4,2353.25,0,0.0,0,0,2021-09-03,37173.05,83.0,27.7099609375,0.524154950997131,-11.783157033222913,8.106927829906412e-05,70.58848159067361,470.4,-1475.0
17,4820,BANKNIFTY,OPTIDX,2021-11-25,37200.0,PE,0.0,0.0,0.0,3177.1,2471.2,0,0.0,0,0,2021-09-03,37173.05,83.0,44.803619384765625,-0.45880942239687983,-18.985093258872073,4.996351741037145e-05,70.34086808719663,918.3,-2258.8
22,6858,BANKNIFTY,OPTIDX,2021-11-25,37000.0,CE,1360.0,1360.0,1240.0,1250.0,1250.0,65,622.12,4750,675,2021-09-06,37028.25,80.0,17.881393432617188,0.5203269433941405,-7.718963063019998,0.00012853243370355025,69.06811232229765,459.25,-790.75
24,6951,BANKNIFTY,OPTIDX,2021-11-25,37000.0,PE,1170.0,1260.0,1150.85,1230.15,1230.15,33,315.24,2925,600,2021-09-06,37028.25,80.0,18.003225326538086,-0.47958401317539145,-7.771466202468961,0.0001276611681392258,69.06732376237711,873.95,-356.20000000000005
21,6764,BANKNIFTY,OPTIDX,2021-10-28,36900.0,PE,1358.1,1358.45,724.75,1020.15,1020.15,76,719.97,600,150,2021-09-06,36888.0,52.0,18.258333206176758,-0.48813797732355757,-9.747341212577444,0.00015686156868667444,55.521140657303455,805.95,-214.19999999999993
19,6555,BANKNIFTY,OPTIDX,2021-09-30,36800.0,PE,644.6,735.0,542.8,695.85,695.85,5142,48168.66,29975,-4450,2021-09-06,36757.15,24.0,17.92120933532715,-0.5009478215914369,-14.038992264904937,0.00023617858052632005,37.601905993423614,751.75,55.89999999999998
18,6438,BANKNIFTY,OPTIDX,2021-09-30,36800.0,CE,785.0,806.45,627.15,648.95,648.95,7451,69824.7,63850,7500,2021-09-06,36757.15,24.0,17.813444137573242,0.4989358691378341,-13.954561655285298,0.00023760720486107554,37.60187834989584,546.25,-102.70000000000005
20,6661,BANKNIFTY,OPTIDX,2021-10-28,36900.0,CE,1091.0,1140.45,998.35,1022.8,1022.8,47,445.66,700,-150,2021-09-06,36888.0,52.0,18.522262573242188,0.5120874620924691,-9.888073961516396,0.00015462377604534132,55.520198352187506,497.45,-525.3499999999999
34,8990,BANKNIFTY,OPTIDX,2021-11-25,36900.0,CE,0.0,0.0,0.0,2063.6,2260.4,0,0.0,0,0,2021-09-07,36852.15,79.0,30.52520751953125,0.5246664013266494,-13.188954155052551,7.608346939802868e-05,68.26668598943903,630.15,-1433.4499999999998
30,8569,BANKNIFTY,OPTIDX,2021-09-30,36600.0,CE,669.6,777.7,494.55,638.15,638.15,7004,65244.59,46475,12075,2021-09-07,36585.95,23.0,17.606496810913086,0.5053500598106786,-14.022258005633516,0.0002466983450385445,36.6355598837433,783.25,145.10000000000002
31,8686,BANKNIFTY,OPTIDX,2021-09-30,36600.0,PE,649.0,831.3,545.0,646.25,646.25,5396,50254.99,31475,-5550,2021-09-07,36585.95,23.0,17.444133758544922,-0.49476348700663125,-13.893000448622447,0.00024899545544136947,36.63569825148718,514.85,-131.39999999999998
32,8792,BANKNIFTY,OPTIDX,2021-10-28,36700.0,CE,1022.25,1107.15,898.95,976.85,976.85,37,348.42,2100,275,2021-09-07,36712.5,51.0,17.734766006469727,0.5152690513621364,-9.511953546690775,0.00016379993920796106,54.707192720136185,727.4,-249.45000000000005
33,8895,BANKNIFTY,OPTIDX,2021-10-28,36700.0,PE,992.7,1100.0,893.0,963.05,963.05,17,160.01,1425,200,2021-09-07,36712.5,51.0,17.71092414855957,-0.48474595589589414,-9.499179768031617,0.0001640206775127539,54.70727152416984,562.9,-400.15
35,9083,BANKNIFTY,OPTIDX,2021-11-25,36900.0,PE,0.0,0.0,0.0,2998.15,2388.6,0,0.0,0,0,2021-09-07,36852.15,79.0,43.529629707336426,-0.46221743913507174,-18.75920253192098,5.321592634039899e-05,68.09049422131825,640.3,-2357.8500000000004
40,11031,BANKNIFTY,OPTIDX,2021-10-28,37000.0,PE,1040.0,1091.15,941.1,985.5,985.5,1103,10482.54,41550,-2625,2021-09-08,36999.25,50.0,18.035888671875,-0.4868080875370064,-9.847853473596409,0.0001614371585472631,54.60143191587261,723.05,-262.45000000000005
38,10928,BANKNIFTY,OPTIDX,2021-10-28,37000.0,CE,752.2,1007.05,752.2,968.5,968.5,1536,14570.04,62100,-2475,2021-09-08,36999.25,50.0,17.73834228515625,0.5129703282844721,-9.685565406678194,0.0001641481283142497,54.60242705308061,491.9,-476.6
37,10822,BANKNIFTY,OPTIDX,2021-09-30,36900.0,PE,825.3,846.3,620.0,640.3,640.3,1591,14958.06,18700,4625,2021-09-08,36881.7,22.0,17.467498779296875,-0.49606067302431667,-14.33978951136701,0.0002522216321124465,36.12141305817491,665.15,24.850000000000023
46,11126,BANKNIFTY,OPTIDX,2021-11-25,37200.0,CE,0.0,0.0,0.0,1945.4,2258.9,0,0.0,0,0,2021-09-08,37151.3,78.0,28.749465942382812,0.5225656849219972,-12.606503162071938,8.066960003941133e-05,68.40525306538011,414.85,-1530.5500000000002
36,10705,BANKNIFTY,OPTIDX,2021-09-30,36900.0,CE,475.6,679.65,459.4,630.15,630.15,3967,37197.96,40700,3650,2021-09-08,36881.7,22.0,17.693519592285156,0.5041089541559969,-14.525277007947256,0.0002489986308930794,36.12125812596094,539.45,-90.69999999999993
47,11219,BANKNIFTY,OPTIDX,2021-11-25,37200.0,PE,0.0,0.0,0.0,3177.1,2389.05,0,0.0,0,0,2021-09-08,37151.3,78.0,46.07200622558594,-0.46003760422708473,-20.133128096479613,5.016627309202773e-05,68.17085341741867,834.6,-2342.5
68,13257,BANKNIFTY,OPTIDX,2021-11-25,37000.0,CE,1275.1,1275.1,1155.65,1196.65,1196.65,106,1012.15,7075,400,2021-09-09,37029.35,77.0,17.430901527404785,0.5199126692002655,-7.670307390519384,0.00013440138766697155,67.76627911544706,348.3,-848.3500000000001
69,13350,BANKNIFTY,OPTIDX,2021-11-25,37000.0,PE,1135.0,1253.3,1135.0,1189.2,1189.2,101,964.32,5975,1425,2021-09-09,37029.35,77.0,17.75360107421875,-0.47986378185548134,-7.812088250616109,0.00013195471393440372,67.7643699194036,766.35,-422.85
53,13163,BANKNIFTY,OPTIDX,2021-10-28,36900.0,PE,957.5,979.0,933.0,933.0,933.0,6,56.79,650,50,2021-09-09,36896.15,49.0,17.26531982421875,-0.48804135558416756,-9.497211287637821,0.00017084709644388647,53.90729599361021,712.65,-220.35000000000002
50,13060,BANKNIFTY,OPTIDX,2021-10-28,36900.0,CE,1014.9,1022.35,913.85,936.35,936.35,15,142.01,775,100,2021-09-09,36896.15,49.0,17.39954948425293,0.5120617765240285,-9.570973061586782,0.00016952776814556378,53.9068762029948,389.55,-546.8
49,12954,BANKNIFTY,OPTIDX,2021-09-30,36800.0,PE,593.45,687.2,570.5,616.85,616.85,5841,54658.83,42575,8800,2021-09-09,36772.55,21.0,17.132043838500977,-0.49904731092139915,-14.35342936434719,0.0002640053258956189,35.18809775327599,655.2,38.35000000000002
48,12837,BANKNIFTY,OPTIDX,2021-09-30,36800.0,CE,695.0,716.4,537.9,587.85,587.85,10093,94389.31,103325,30775,2021-09-09,36772.55,21.0,17.087936401367188,0.5009128867411142,-14.316478970500112,0.00026468683904878036,35.18810596187004,434.4,-153.45000000000005
74,15388,BANKNIFTY,OPTIDX,2021-11-25,36800.0,CE,0.0,0.0,0.0,2104.2,2192.6,0,0.0,0,0,2021-09-13,36841.85,73.0,31.73828125,0.5314743644500858,-14.24434981298078,7.605290753433084e-05,65.52576229045779,462.8,-1641.3999999999999
